,First component,Second component
270,-14.161605,-16.367598
271,-13.451573,-15.533441
272,-14.578792,-12.577691
273,-13.53996,-10.8517275
274,-13.681672,-13.907895
275,-13.475252,-14.593196
276,-24.406544,-31.431538
277,-8.35366,5.300546
278,-14.233228,-10.240357
279,-9.8276005,-3.2020638
280,-24.16504,-24.55455
281,-24.90876,-25.958904
282,-36.224117,-21.32001
283,-47.49997,0.627597
284,-36.369408,-22.923853
285,-35.231617,-23.714138
286,-36.45616,-23.330944
287,-46.41867,1.4803436
288,-46.13737,7.5907454
289,-46.033836,3.4840794
290,-29.522453,-30.169952
291,-28.766582,-27.684696
292,-23.699497,-41.163887
293,-21.84688,-26.352833
294,-20.026194,-38.50096
295,-23.175318,-34.183796
296,-22.238739,-36.709732
297,-23.24592,-35.372868
298,-22.880783,-37.189423
299,-21.75477,-37.534294
300,-23.114008,-36.716347
301,-21.805862,-38.399067
302,-33.660965,-39.13896
303,-33.517036,-35.488766
304,-27.393053,-41.139084
305,-31.751223,-38.045395
306,-31.778904,-36.25559
307,-28.67525,-34.009277
308,-31.098825,-35.08484
309,-24.269423,-32.89595
310,-6.6511617,-11.940015
311,-29.653397,-33.77408
312,-30.278776,-33.24931
313,-30.08889,-31.955732
314,-31.09012,-33.73998
315,-29.211718,-34.607162
316,-20.09721,-27.767382
317,-32.59949,-34.18983
318,-33.31951,-34.61965
319,-34.675976,-35.99308
320,-32.400055,-35.748455
321,-33.160717,-36.476986
322,-36.129673,-30.764473
323,-28.987669,-32.281166
324,-24.830534,-32.648987
325,14.144599,-16.937891
326,-13.910178,8.37643
327,-18.238844,-21.857374
328,-19.320911,-21.530983
329,-20.673695,-23.139692
330,10.781515,-15.210329
331,-21.254189,-23.163837
332,10.64119,-15.219131
333,-17.269814,-20.288298
334,-18.088055,-21.07919
335,-20.22548,-22.05078
336,-19.586884,-23.03399
337,-8.262563,-5.8407736
338,-35.31276,-29.704626
339,-15.532277,8.34379
340,-35.37999,-29.732721
341,-18.20187,-25.731062
342,-19.277613,-28.3118
343,14.490492,6.4469614
344,-18.721731,-24.487072
345,-24.810686,13.907667
346,15.514884,10.478606
347,23.069227,-25.870491
348,-23.320787,-23.648256
349,-29.15232,-25.575773
350,-15.500007,9.319863
351,-13.572618,-29.73541
352,-4.171722,24.965315
353,-4.6725807,23.928345
354,-12.211938,-30.237902
355,6.96555,-35.978394
356,-13.705429,-31.58298
357,-7.296229,22.75913
358,-12.439723,-30.589886
359,6.1948256,-49.311657
360,-7.254631,22.662382
361,12.495966,8.049476
362,-17.577435,7.318996
363,-24.15869,-19.092907
364,-15.319313,-28.561792
365,-24.879473,-19.688414
366,-26.629246,-14.498682
367,17.20733,12.181241
368,21.985727,-14.537809
369,-6.542802,-4.9482627
370,-6.5160456,10.011938
371,-12.993063,13.114252
372,-13.049148,12.089842
373,-12.904173,-6.6650686
374,-22.073324,-12.080102
375,-17.625547,7.730258
376,-15.258108,4.7356896
377,-22.744804,-17.246218
378,-18.756247,11.675309
379,-23.782574,-18.448387
380,-23.762863,-16.385561
381,-26.411879,-15.986306
382,-24.950373,-17.434443
383,-38.1334,-3.2671516
384,-25.026478,-13.11633
385,-22.94434,-14.698141
386,-20.114695,-18.266565
387,17.267471,10.158189
388,19.03068,10.66315
389,-20.01859,-2.5394874
390,16.32975,9.930482
391,-5.423935,21.982758
392,18.51676,10.917602
393,-11.913177,-29.038483
394,-4.9093227,-8.875278
395,2.84405,-12.380837
396,1.9850136,-12.832178
397,2.8867288,-15.830424
398,4.194239,-14.870791
399,-11.267926,-20.821203
400,1.6480513,-16.683704
401,-3.8314435,-15.027587
402,1.2055072,-11.206755
403,-4.6132236,-17.847876
404,-5.568718,-18.456968
405,-2.0025592,-12.728377
406,-5.05564,-17.632343
407,-11.5276785,-15.0751915
408,1.7804031,-13.161737
409,-5.3128605,-19.748646
410,-2.075901,-14.330703
411,-4.9646864,-14.030783
412,-6.196794,-19.891445
413,0.67748624,-18.102736
414,0.5094051,-17.849447
415,0.83427536,-21.41113
416,-2.3427534,-11.9830885
417,-5.2749443,-20.67834
418,0.8072256,-14.972451
419,0.2732199,-11.8798485
420,0.13132943,-12.47815
421,-4.2290845,-12.718997
422,2.9250934,-2.5571578
423,1.7611413,-17.067366
424,-6.9404197,-7.4988866
425,-7.4399476,-0.6476683
426,-5.033652,-8.18079
427,0.7733251,-3.0801039
428,-9.189166,-4.739486
429,-11.987655,-8.699031
430,-11.85388,-7.5035605
431,1.2099679,-2.9817026
432,-19.426815,-19.492136
433,-5.1469364,-6.495503
434,-0.80275047,-13.610014
435,-2.4819732,-8.859378
436,-5.610944,-12.643052
437,-11.559703,-14.093165
438,-1.6378661,-9.073992
439,-3.019847,-10.542016
440,0.69010067,-10.231166
441,-4.7994766,-11.756561
442,-3.6231384,-11.471884
443,3.6641042,-18.133804
444,-4.493989,-0.8575388
445,-6.6603847,-18.373148
